SPECIES,Seq_ID
Salmonella enterica,GCF_000006945.2
Salmonella enterica,GCF_001558355.2
Salmonella enterica,GCF_002289225.1
Salmonella enterica,GCF_006365335.1
Salmonella enterica,GCF_008692755.1
Salmonella enterica,GCF_008692775.1
Salmonella enterica,GCF_008692785.1
Salmonella enterica,GCF_008692845.1
Salmonella enterica,GCF_010191885.1
Salmonella enterica,GCF_010649825.1
Salmonella enterica,GCF_010726345.1
Salmonella enterica,GCF_014334155.1
Salmonella enterica,GCF_016028495.1
Salmonella enterica,GCF_016029065.1
Salmonella enterica,GCF_016029385.1
Salmonella enterica,GCF_016030095.1
Salmonella enterica,GCF_018033035.1
Salmonella enterica,GCF_022869965.1
Neisseria gonorrhoeae,GCF_003315235.1
Enterococcus faecium,GCF_001544255.1
Enterococcus faecium,GCF_900447735.1
Staphylococcus aureus,GCF_000330825.2
Staphylococcus aureus,GCF_001027105.1
Staphylococcus aureus,GCF_001544175.1
Staphylococcus aureus,GCF_006094915.1
Staphylococcus aureus,GCF_006364675.1
Staphylococcus aureus,GCF_022869625.1
Mycobacterium tuberculosis,GCF_000195955.2
Mycobacterium tuberculosis,GCF_000277735.2
Mycobacterium tuberculosis,GCF_000667805.1
Mycobacterium tuberculosis,GCF_002982215.1
Mycobacterium tuberculosis,GCF_002982225.1
Mycobacterium tuberculosis,GCF_002982275.1
Mycobacterium tuberculosis,GCF_002982335.1
Mycobacterium tuberculosis,GCF_003266045.1
Streptococcus pneumoniae,GCF_001457635.1
Streptococcus pneumoniae,GCF_001679535.1
Listeria monocytogenes,GCF_000743465.1
Listeria monocytogenes,GCF_900187225.1
Klebsiella pneumoniae,GCF_000163455.1
Klebsiella pneumoniae,GCF_000281755.1
Klebsiella pneumoniae,GCF_000742135.1
Klebsiella pneumoniae,GCF_000788015.1
Klebsiella pneumoniae,GCF_001590945.1
Klebsiella pneumoniae,GCF_006364295.1
Klebsiella pneumoniae,GCF_020115495.1
Klebsiella pneumoniae,GCF_022869665.1
Klebsiella pneumoniae,GCF_900452045.1
Pseudomonas aeruginosa,GCF_001042925.1
Pseudomonas aeruginosa,GCF_001045685.1
Pseudomonas aeruginosa,GCF_001457615.1
Pseudomonas aeruginosa,GCF_008801675.1
Pseudomonas aeruginosa,GCF_012987025.1
Pseudomonas aeruginosa,GCF_022496575.1
Pseudomonas aeruginosa,GCF_900167195.1
Streptococcus pyogenes,GCF_000421785.1
Streptococcus pyogenes,GCF_001982785.1
Streptococcus pyogenes,GCF_002055535.1
Streptococcus pyogenes,GCF_004028355.1
Streptococcus pyogenes,GCF_006364235.1
Streptococcus pyogenes,GCF_022869605.1
Neisseria meningitidis,GCF_022869645.1
Neisseria meningitidis,GCF_900638555.1
Legionella pneumophila,GCF_000008485.1
Legionella pneumophila,GCF_000586255.1
Legionella pneumophila,GCF_000586315.1
Legionella pneumophila,GCF_000586375.1
Legionella pneumophila,GCF_001582475.1
Legionella pneumophila,GCF_001941585.1
Legionella pneumophila,GCF_002082955.2
Legionella pneumophila,GCF_006364635.1
Legionella pneumophila,GCF_022870105.1
Legionella pneumophila,GCF_900452735.1
Legionella pneumophila,GCF_900637585.1
Legionella pneumophila,GCF_900639965.1
Pseudomonas azotoformans,GCF_001870415.1
Pseudomonas azotoformans,GCF_001983205.1
Pseudomonas azotoformans,GCF_002091515.1
Pseudomonas azotoformans,GCF_900103345.1
Pseudomonas azotoformans,GCF_900624915.1
Mycobacterium ulcerans,GCF_022374915.1
Campylobacter jejuni,GCF_000254515.1
Campylobacter jejuni,GCF_001457695.1
Campylobacter jejuni,GCF_003999645.1
Campylobacter jejuni,GCF_008802045.1
Campylobacter jejuni,GCF_905410075.1
Enterobacter hormaechei,GCF_000213995.1
Enterobacter hormaechei,GCF_001729705.1
Enterobacter hormaechei,GCF_001729725.1
Enterobacter hormaechei,GCF_001729745.1
Enterobacter hormaechei,GCF_001729785.1
Enterobacter hormaechei,GCF_001875655.1
Enterobacter hormaechei,GCF_019048245.1
Enterobacter hormaechei,GCF_020097195.1
Serratia marcescens,GCF_000735445.1
Serratia marcescens,GCF_002899365.1
